ts,Valve,Occp,RaHumidity,RaTemp,SaTemp,ThermEnergy,main_temp,main_humidity,wind_speed,clouds_all,hour,minute,dayofweek,month,is_weekend,hour_sin,hour_cos,minute_sin,minute_cos,delta_supply_return,delta_outdoor_indoor,delta_humidity,Valve_lag_1,RaTemp_lag_1,SaTemp_lag_1,RaHumidity_lag_1,RaTemp_diff_1,RaTemp_pct_1,ThermEnergy_diff_1,Valve_change_1
2024-09-11 05:40:00,0.0,0,78.64733,20.4,19.800001,0.0,22.8,60.0,1.2,1.0,5,40,2,9,0,0.9659258262890683,0.25881904510252074,-0.8660254037844384,-0.5000000000000004,-0.5999989999999968,2.400000000000002,-18.647329999999997,0.0,20.7,20.300001,78.55043,-0.3000000000000007,-0.01449275362318847,0.0,0.0
2024-09-11 05:45:00,53.195312,1,79.89139,21.300001,20.2,6.502984304,22.3,64.0,1.2,2.0,5,45,2,9,0,0.9659258262890683,0.25881904510252074,-1.0,-1.8369701987210297e-16,-1.1000010000000024,0.999998999999999,-15.891390000000001,0.0,20.4,19.800001,78.64733,0.9000010000000032,0.04411769607843152,6.502984304,53.195312
2024-09-11 05:50:00,66.921875,1,78.67234,21.300001,18.5,8.633783963,21.9,64.0,1.2,1.0,5,50,2,9,0,0.9659258262890683,0.25881904510252074,-0.8660254037844386,0.5000000000000001,-2.8000010000000017,0.5999989999999968,-14.672340000000005,53.195312,21.300001,20.2,79.89139,0.0,0.0,2.130799659000001,13.726562999999999
2024-09-11 05:55:00,67.65625,1,78.35038,21.300001,18.1,7.823967472,21.9,64.0,1.2,1.0,5,55,2,9,0,0.9659258262890683,0.25881904510252074,-0.49999999999999967,0.8660254037844388,-3.2000010000000003,0.5999989999999968,-14.350380000000001,66.921875,21.300001,18.5,78.67234,0.0,0.0,-0.8098164910000012,0.734375
2024-09-11 06:00:00,67.671875,1,78.27536,20.6,18.300001,8.39493872,21.9,65.0,1.2,1.0,6,0,2,9,0,1.0,6.123233995736766e-17,0.0,1.0,-2.2999989999999997,1.2999999999999972,-13.275360000000006,67.65625,21.300001,18.1,78.35038,-0.7000010000000003,-0.0328638951707092,0.5709712480000011,0.015625
2024-09-11 06:05:00,62.164062,1,78.27536,20.1,17.5,7.794252186,21.9,65.0,1.2,1.0,6,5,2,9,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-2.6000000000000014,1.7999999999999972,-13.275360000000006,67.671875,20.6,18.300001,78.27536,-0.5,-0.024271844660194164,-0.6006865340000012,-5.507812999999999
2024-09-11 06:10:00,62.59375,1,78.35038,21.2,17.7,8.063187555,21.8,66.0,1.2,2.0,6,10,2,9,0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-3.5,0.6000000000000014,-12.350380000000001,62.164062,20.1,17.5,78.27536,1.0999999999999979,0.05472636815920384,0.26893536900000115,0.42968799999999874
2024-09-11 06:15:00,0.0,0,79.24435,19.9,18.300001,0.0,21.8,66.0,1.2,2.0,6,15,2,9,0,1.0,6.123233995736766e-17,1.0,2.83276944882399e-16,-1.5999989999999968,1.9000000000000021,-13.244349999999997,62.59375,21.2,17.7,78.35038,-1.3000000000000007,-0.061320754716981174,-8.063187555,-62.59375
2024-09-11 06:20:00,0.0,0,78.822365,21.5,18.4,0.0,20.9,71.0,1.2,0.0,6,20,2,9,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-3.1000000000000014,-0.6000000000000014,-7.822365000000005,0.0,19.9,18.300001,79.24435,1.6000000000000014,0.08040201005025138,0.0,0.0
2024-09-11 06:25:00,0.0,0,77.9034,21.1,19.5,0.0,20.9,71.0,1.2,0.0,6,25,2,9,0,1.0,6.123233995736766e-17,0.49999999999999994,-0.8660254037844387,-1.6000000000000014,-0.20000000000000284,-6.903400000000005,0.0,21.5,18.4,78.822365,-0.3999999999999986,-0.018604651162790642,0.0,0.0
2024-09-11 06:30:00,0.0,0,77.45641,20.800001,19.800001,0.0,19.9,74.0,1.2,1.0,6,30,2,9,0,1.0,6.123233995736766e-17,5.66553889764798e-16,-1.0,-1.0,-0.9000010000000032,-3.4564100000000053,0.0,21.1,19.5,77.9034,-0.2999989999999997,-0.014217962085308011,0.0,0.0
2024-09-11 06:35:00,0.0,0,77.30637,19.7,19.800001,0.0,19.9,74.0,1.2,1.0,6,35,2,9,0,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,0.10000100000000245,0.1999999999999993,-3.306370000000001,0.0,20.800001,19.800001,77.45641,-1.1000010000000024,-0.05288466091900679,0.0,0.0
2024-09-11 06:40:00,0.0,0,78.4504,20.0,20.300001,0.0,19.9,77.0,1.2,1.0,6,40,2,9,0,1.0,6.123233995736766e-17,-0.8660254037844384,-0.5000000000000004,0.30000100000000174,-0.10000000000000142,-1.450400000000002,0.0,19.7,19.800001,77.30637,0.3000000000000007,0.015228426395939021,0.0,0.0
2024-09-11 06:45:00,46.257812,1,77.97841,20.2,20.1,5.504723554,19.9,77.0,1.2,1.0,6,45,2,9,0,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,-0.09999999999999787,-0.3000000000000007,-0.9784099999999967,0.0,20.0,20.300001,78.4504,0.1999999999999993,0.010000000000000009,5.504723554,46.257812
